id,followers_count,friends_count,screen_name,lang,verified,created_at
794754703334612992,2,38,luthfiya_khayla,en,false,Sat Nov 05 04:14:21 +0000 2016
1155893966,18,81,SolusiBangunan,en,false,Thu Feb 07 03:31:04 +0000 2013
793455872693374976,7,148,danielvargasvi4,es,false,Tue Nov 01 14:13:16 +0000 2016
794753553927704577,3,258,JoseHerrera1203,es,false,Sat Nov 05 04:09:47 +0000 2016
794563388223340544,3,117,elvina2303,id,false,Fri Nov 04 15:34:08 +0000 2016
794753299392110593,2,21,barryclare375,en,false,Sat Nov 05 04:08:47 +0000 2016
794747531330809856,2,75,futboltotalMR,es,false,Sat Nov 05 03:45:51 +0000 2016
778857878589407232,107,797,calum174,en,false,Thu Sep 22 07:26:03 +0000 2016
794751698145316869,20,89,JoseGre14688477,es,false,Sat Nov 05 04:02:25 +0000 2016
794750632498515968,2,82,7kash28,en-gb,false,Sat Nov 05 03:58:11 +0000 2016
794547362081476608,4,81,Prince80113806,en,false,Fri Nov 04 14:30:27 +0000 2016
794750697917054976,6,86,HARSHZAVERI4,en,false,Sat Nov 05 03:58:26 +0000 2016
794750606745419776,6,56,BeltranzitoCort,es,false,Sat Nov 05 03:58:05 +0000 2016
794750561740427265,4,107,HyqalAnuar01,en,false,Sat Nov 05 03:57:54 +0000 2016
2457017992,54,314,JBisum,en,false,Thu Apr 03 10:06:10 +0000 2014
794749793637699585,4,99,kyle02ferguson1,en-gb,false,Sat Nov 05 03:54:51 +0000 2016
198675643,357,308,baxterrodman,en,false,Mon Oct 04 23:24:32 +0000 2010
3244819422,13,67,MrKomoto1,en,false,Sun Jun 14 06:11:37 +0000 2015
794747818619600896,9,190,JoseGam11,es,false,Sat Nov 05 03:47:00 +0000 2016
793304849441955840,1,8,pratin_jitaree,th,false,Tue Nov 01 04:13:09 +0000 2016
794747250681315328,11,90,Ajayyadav917990,en,false,Sat Nov 05 03:44:45 +0000 2016
794747955005820928,3,100,cidaferreira048,pt,false,Sat Nov 05 03:47:32 +0000 2016
794443628118736897,17,112,edwin96182409,en,false,Fri Nov 04 07:38:15 +0000 2016
794746103707144192,2,54,Princeleo1020,en,false,Sat Nov 05 03:40:11 +0000 2016
794618822162518016,9,98,mosibudi_matema,en,false,Fri Nov 04 19:14:25 +0000 2016
794730665153437696,2,39,Ryan96450657,id,false,Sat Nov 05 02:38:50 +0000 2016
4111122195,6,178,alsayedghaly,ar,false,Wed Nov 04 10:03:14 +0000 2015
794745756078870528,2,97,RamonRamonjmz,en,false,Sat Nov 05 03:38:48 +0000 2016
789111632051990528,7,157,CesarFa96447372,es,false,Thu Oct 20 14:30:48 +0000 2016
794740201755000834,17,65,Taj_Bashanta,en,false,Sat Nov 05 03:16:44 +0000 2016
2981062761,33,310,lagrintaa12,fr,false,Fri Jan 16 13:15:36 +0000 2015
2330451060,117,155,JohariRahim,en,false,Thu Feb 06 15:26:15 +0000 2014
794745749145812992,2,63,JoaoVitorMeloM1,pt,false,Sat Nov 05 03:38:47 +0000 2016
794743133183438848,2,137,liver9256,en,false,Sat Nov 05 03:28:23 +0000 2016
782641756781158400,46,375,katjunior1,en,false,Sun Oct 02 18:01:50 +0000 2016
792781129321484288,10,185,Sebastianorduz9,es,false,Sun Oct 30 17:32:05 +0000 2016
794743281225728000,9,80,Mayitagi1912,es,false,Sat Nov 05 03:28:58 +0000 2016
794744514216857600,13,110,betechomomi,fr,false,Sat Nov 05 03:33:52 +0000 2016
1496259817,36,1586,OTOMJERRY1,en,false,Sun Jun 09 18:04:56 +0000 2013
779804576471928833,4,91,JRODRIGO1404,es,false,Sat Sep 24 22:07:53 +0000 2016
794742659311169537,6,121,TomasRojasToma2,es,false,Sat Nov 05 03:26:30 +0000 2016
794744305831309312,2,44,Zahidabbas2531,en,false,Sat Nov 05 03:33:02 +0000 2016
794744043032821760,5,243,dion_wehrsig,en,false,Sat Nov 05 03:32:00 +0000 2016
1789838754,64,337,claytonray1291,en,false,Sun Sep 08 00:16:15 +0000 2013
794743051000418304,1,98,xandefire,pt,false,Sat Nov 05 03:28:03 +0000 2016
794743078493880321,26,303,shahilDJ1,en,false,Sat Nov 05 03:28:10 +0000 2016
794731753470619648,4,130,Ramawtarprasad3,en,false,Sat Nov 05 02:43:10 +0000 2016
146046531,37,33,ashish_prince90,en,false,Thu May 20 13:35:54 +0000 2010
794742431677812736,5,73,tylerhillier10,en,false,Sat Nov 05 03:25:36 +0000 2016
794741603172806656,3,160,ZakiGhulami,sv,false,Sat Nov 05 03:22:18 +0000 2016
782103730749444096,16,97,kakuislie,en,false,Sat Oct 01 06:23:55 +0000 2016
794741951048413184,6,100,RiciLeakss,nl,false,Sat Nov 05 03:23:41 +0000 2016
636034296,11,258,makeuptipseva,en,false,Sun Jul 15 06:23:38 +0000 2012
793867901145079809,45,538,BryanmJose,es,false,Wed Nov 02 17:30:31 +0000 2016
