id,followers_count,friends_count,screen_name
794716146033459201,0,81,Ahmedfaouzi12
794715336985759744,8,94,4142968m
794716090198802432,1,37,BarrySingleto13
395815945,223,643,boong1234
133536303,46,300,FelipeSuarez32
794714828585783296,5,24,gingerpio
794712605231349760,5,25,AbdelmomnBarak5
794715668046352384,3,44,sabm13216
475414583,2,70,rggenesis
794712491372806145,1,32,MiljanJovanic
748019454257270784,50,459,joselito_boy7
794707821606617088,18,72,tj_dah_yunghanz
2654000664,31,284,abwaannagiib
597414943,1350,538,ainm4rdiah
770708831152250881,17,199,PauloFracalosse
794712065462177792,2,34,LopesWalber
765345115988561920,16,151,AlexGtzE2003
794712748416385024,8,229,zin_hlyan
794425665869053952,2,50,permanarealty
794712800153112576,3,99,TLmAnh2
794712877135335425,6,100,ItsHemdriklamar
4058970672,2,68,ipedot83
794711646920839168,4,92,sarahbennett231
794709069831503873,2,52,BKiiya
794711380846845953,3,9,MustafaShrbje
735633451542536192,564,897,yousefBebo5
794706194522902528,30,68,Foki_15
794709301604548609,3,66,ashlea_brown96x
794709518819192832,17,299,kevadams99
794707001829822464,4,86,gavin_lenihan
794708852872724480,6,157,ShirleyMell5
794708735851696128,1,71,EdwardJugando
794709012679888896,0,3,meetme696
794707608678596608,10,92,Esfolklore
794707882948382720,3,125,Tuliannys29
794697592085053441,59,394,mohamed_gasmi10
794699953008443392,34,242,jeffersonajardo
794707963541917696,6,62,ReyberManuel
794708150385573888,9,77,hamza_elanbi
794705718142181376,18,246,pidd_callum
941053009,25,232,fredthuo
794708145641836545,3,99,manuelb57949579
1683294036,5,63,kuyiksco
794707270038945792,2,61,hollisholbrook3
794707381066153984,6,49,b39eafeeb70946a
772389245671641088,54,377,gustanogueira7
794707205866012672,8,44,Mills85Tom
794706611738705920,1,100,danieltwd2
794706007901532160,3,120,mathirangi
2580107850,1,107,emillwk1
794366376379056128,1,45,MuslimZrAbdell
780065141538824192,32,132,taylorisemo6
